V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
4.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,,4.0,3.0,3.0,2.0,4.0
4.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0
1.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0
2.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,1.0,5.0
5.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,4.0,2.0,4.0,5.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0
2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0
3.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0
1.0,4.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0
,4.0,3.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,4.0,5.0,3.0,5.0,2.0
4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,,2.0
5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0
4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0
4.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0
1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0
1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0
5.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,,4.0,5.0,4.0,3.0
3.0,2.0,4.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,4.0,5.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,1.0,1.0,5.0,3.0,2.0,3.0
1.0,4.0,,4.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0
4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0
5.0,3.0,4.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0
2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
5.0,3.0,5.0,2.0,,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0
3.0,4.0,1.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0
4.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,2.0
5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,
5.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0
4.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0
2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0
5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,5.0,1.0
2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0
1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0
5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0
2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0
3.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0
5.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0
2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0
1.0,5.0,5.0,4.0,,4.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,2.0,1.0,5.0,5.0
5.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0
2.0,4.0,1.0,5.0,2.0,4.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0
5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
3.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0
4.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,,2.0,4.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0
4.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0
2.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0
3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0
1.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0
1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0
1.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,3.0,2.0
3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,5.0,1.0,1.0,2.0
2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0
5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,,2.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0
2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0
3.0,5.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0
4.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0
4.0,4.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0
5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,4.0,1.0
1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,1.0,5.0
4.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,1.0,5.0,4.0
3.0,5.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,4.0,3.0,2.0
4.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0
1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,4.0,1.0,4.0
3.0,2.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0
5.0,3.0,4.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0
1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0
3.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0
3.0,4.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0
1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0
2.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0,3.0,2.0,2.0
2.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0
5.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,2.0
1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,2.0
1.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0
3.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0
1.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,3.0
5.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0
2.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0,2.0,,4.0,5.0,3.0,5.0,4.0,4.0,5.0
3.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0
5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0
1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,,5.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0
5.0,3.0,3.0,1.0,3.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0
2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0
4.0,5.0,4.0,3.0,2.0,5.0,3.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0
3.0,2.0,4.0,3.0,3.0,,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,,5.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0
2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0
1.0,4.0,4.0,4.0,,2.0,4.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0
5.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0
4.0,2.0,1.0,3.0,1.0,,3.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0
4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0
2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,,5.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,2.0
5.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0
5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0
1.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,3.0,1.0,5.0
4.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0
4.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,2.0,1.0,4.0
5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0
3.0,4.0,3.0,5.0,3.0,,3.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,5.0,5.0,1.0,2.0,3.0,2.0
1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0
1.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0
1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0
2.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0
1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0
5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0,1.0
4.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,2.0,5.0
3.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0
2.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0
1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0,5.0,2.0
5.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,,5.0,1.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0
4.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0
1.0,1.0,,2.0,1.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0
2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0
1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0
3.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,1.0,2.0,3.0
5.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0
